According to this table, how many champions?	List those champions for different All-Star games.	List champions for different All-Star games.  74
how many opponents win before 1995 in the season game ?	how many loss before 1997 ?	how many opponents loss before 1997 in the season game ?	95
show the townships of country ransom	what is their average pop.?	what is the average pop. of the townships of country ransom?	19
what is the maximum season that has exactly 2 podiums ?	what about have 1 more podiums ?	what is the maximum season that has exactly 3 podiums ?	87
Can I have a listing of directors ranked in top 10	what about bottom 5?	Can I have a listing of directors ranked in bottom 5	73
how many dates have an opponent of romford raiders , and a result of won 7-3 , and an attendance larger than 1,769 ?	in that result condition, show me all competitions name .	in result of won 7-3 condition, show me all competitions name .	120
how many different series here from 1988 to 2010	from 1995 to 2010?	how many different series here from 1995 to 2010	87
what is the height when the locale is nepean sea road , floors is more than 30 and sr no is 58 ?	when locale changes to tardeo ?	what is the height when the locale is tardeo , floors is more than 30 and sr no is 58 ?	38
how many years did acocks green open until now	how is it for station stechford	how many years did stechford open until now	13
who has the high assists when the team is Oklahoma City ?	show the record of that	show the record when the team is Oklahoma City ?	54
Statistics about the total number of goals for different league	for different leading scorer	Statistics about the total number of goals for leading scorer	53
what are the names of the members which has population less than 5000	sum of their population .	sum of population of the members which has population less than 5000 .	79
which player was the highest picked defensive end	What college does that player come from?	What college does the highest picked defensive end player come from?	12
how many years did acocks green open until now	how is it for station stechford	how many years did stechford open until now	13
calculate the total amount of drivers for each class.	when class position equals to 2?	calculate the total amount of drivers for each class when class position equals to 2?	83
what is the nationality of mattias modig ?	which players come from the same nationality ?	which players come from the nationality of mattias modig ?	64
when the championship held in leeds, how many crowd were here	what is the score ?	when the championship held in leeds, what is the score ?	99
what is the highest ovrs ?	when econ is less than 3.21 ?	what is the highest ovrs , when econ is less than 3.21 ?	34
what is the game where the high points is by manu ginóbili?	how about the high poins is kirk hinrich	what is the game where the high points is by kirk hinrich	54
after 22 april 1942, which ships has least 2000 tonnage ?	how many are damaged?	after 22 april 1942, how many ships are damaged which has least 2000 tonnage ?	102
In the table, how many scores did the San Francisco 49ers win as a visitor team?	for detroit lions ?	In the table, how many scores did detroit lions win as a visitor team ?	106
Does the USA has the most market value company ?	Does they have top 3 ?	Does usa has the companies of top 3 market value ?	31
who directed " running the gauntlet" ?	which titles has the same director ?	which titles has the same director as " running the gauntlet" ?	111
how many safe couples have there been?	Whose vote percentage greater than 20	how many safe couples with vote percentage greater than 20?	21
which artist is in the top place ?	which song is created by him ?	which song is created by the artiest which is in the top place ?	94
what is the average pick of player paul maclean	Does he come from canada?	Does the player paul maclean come from canda?	80
Which team is the best according to overall record.	then the worst	Which team is the worst according to overall record	81
how many seasons had the overall less than 20 ?	which of those earned the smallest?	which season earned the smallest which had the overall less than 20?	90
show the ends won, ends lost and stolen ends of prince edward island.	if just show the blank ends.	show blank ends of prince edward island.	42
In the final contest, which artists was in the top 5 place?	who have more televote than 1000 ?	In the final contest, which artists was in the top 5 place and have more televote than 1000 ?	94
In which all-star game, detroit shock got the champion ?	which season ?	In which season when detroit shock got the champion ?	74
